Train_ID,Score
2152,1.2703818811132805e-05
3602,1.0508383638807572e-05
1366,9.703041087050224e-06
1457,7.970294973347336e-06
3402,6.453237801906653e-06
2287,4.864436277784989e-06
3510,4.839180292037781e-06
1194,2.7874625629920047e-06
646,2.773477831397031e-06
2194,2.733672545218724e-06
1850,2.721105374803301e-06
2627,2.6598605700201006e-06
590,2.536534111641231e-06
1807,2.4798698632366722e-06
1489,2.463400392116455e-06
854,2.4456653591187205e-06
2890,2.429946221127466e-06
3388,2.4052168328125845e-06
770,2.228802713943878e-06
3491,2.2252949065659777e-06
908,2.2029503270459827e-06
3001,2.1997379917593207e-06
3866,2.1928447040409083e-06
1139,2.1874551521250396e-06
2575,2.177125395519397e-06
3870,2.1703855850319087e-06
276,2.1354326236178167e-06
994,2.0733509700221475e-06
2135,2.065042281174101e-06
482,2.054473725365824e-06
1874,1.9910592072847066e-06
3297,1.9682155425471137e-06
1298,1.9681535832205554e-06
3056,1.9502110149005603e-06
1973,1.9415679162193555e-06
2486,1.934536953740462e-06
2695,1.91718652331474e-06
3872,1.9161869317940727e-06
2051,1.9093841956419055e-06
2146,1.8968251538353798e-06
3375,1.8773686178974458e-06
58,1.8747064132185187e-06
2105,1.8687034071263042e-06
162,1.8606819480737613e-06
1149,1.857620418377337e-06
291,1.8447681782163272e-06
1712,1.844544840423623e-06
2622,1.829724737945071e-06
152,1.8093836047228251e-06
3213,1.8078876564686652e-06
2979,1.7800597333916812e-06
511,1.7746561979947728e-06
1480,1.7746424418874085e-06
3406,1.7716993738758902e-06
3256,1.766105413025798e-06
1562,1.7647674326326523e-06
90,1.7592986409908917e-06
3404,1.7574111552676186e-06
933,1.7536401060169737e-06
923,1.7354228134536243e-06
1023,1.7316493767793872e-06
2898,1.7315904869974474e-06
1114,1.7311744500148052e-06
182,1.7123687143794086e-06
255,1.7072092646230885e-06
776,1.7061884136637673e-06
3658,1.6984988633339526e-06
2583,1.6953794101937092e-06
1328,1.6753660361246148e-06
1488,1.6736167367525923e-06
2500,1.6684683146195312e-06
2943,1.659430097333825e-06
2728,1.6576206576246477e-06
3413,1.6566082763347367e-06
211,1.6502830249010003e-06
1852,1.6500439983246906e-06
3426,1.640812797631952e-06
2328,1.6338622685907467e-06
1335,1.615210919680976e-06
3755,1.6038551393648959e-06
3061,1.6027250353545242e-06
3519,1.5952617218317755e-06
1585,1.5949971157169784e-06
505,1.5869279650360113e-06
1162,1.5821246392988542e-06
3883,1.5820639305275108e-06
1857,1.5769555830047466e-06
2189,1.566667094721197e-06
1160,1.5661944985367882e-06
1714,1.556372183131316e-06
3547,1.5529766983490845e-06
3550,1.5452255865966436e-06
205,1.542609311400156e-06
1760,1.5396937556033663e-06
2040,1.5388320093734364e-06
666,1.5382043443423754e-06
2387,1.5375900943581655e-06
410,1.537166838261328e-06
1395,1.5359034364337276e-06
1960,1.5296328683689353e-06
2428,1.5243786606333742e-06
2863,1.5191149600468634e-06
418,1.5038974083836365e-06
2099,1.5022864658931212e-06
3145,1.4998234405538824e-06
1773,1.4895614981469407e-06
1174,1.4893150250827603e-06
368,1.478112039876578e-06
3601,1.4744732084182033e-06
3964,1.472702138016757e-06
799,1.4684741245218902e-06
24,1.4683291738037951e-06
2110,1.4675589454782312e-06
1274,1.4631763178840629e-06
1330,1.4592335446650395e-06
3672,1.4553355072166596e-06
2448,1.453718198263232e-06
851,1.4536835237777268e-06
2513,1.4475833722826792e-06
1394,1.44455651707176e-06
956,1.4401371686290076e-06
3692,1.4390786304829817e-06
2531,1.438010542642587e-06
3772,1.4378824744198937e-06
920,1.4377205843629781e-06
459,1.4215183341548254e-06
1709,1.4179658478497004e-06
474,1.4163661603561195e-06
1137,1.4133009926808882e-06
1118,1.413174459230504e-06
1523,1.4115398130343237e-06
2595,1.3977643789075955e-06
3948,1.3935016909272235e-06
1304,1.392140404732345e-06
1227,1.3871753594685288e-06
951,1.3869513963982172e-06
374,1.3796288840239868e-06
2205,1.3770659847978095e-06
3717,1.3759934631707438e-06
952,1.3753421512774366e-06
1798,1.3704167258765665e-06
3958,1.3648030403601297e-06
2621,1.3585635656454542e-06
1016,1.357336032015155e-06
1156,1.3491641652763064e-06
450,1.3439756685329485e-06
3327,1.336976993115968e-06
2008,1.3316532090357214e-06
3614,1.3314905800143606e-06
2057,1.322051105034916e-06
3158,1.3196408872317988e-06
2084,1.3187165563977032e-06
397,1.3176224911148893e-06
2251,1.3165050631869235e-06
1452,1.3102364277983725e-06
2168,1.3077309972686635e-06
3844,1.3076524965072167e-06
3107,1.307243962855864e-06
3589,1.3039799569014576e-06
2830,1.3035766528446402e-06
3763,1.2970374996257306e-06
1592,1.2948262337886263e-06
2697,1.292144872877543e-06
2929,1.291518458401697e-06
3612,1.2835147913392575e-06
647,1.2831594062845397e-06
2134,1.2818825325666694e-06
2300,1.2751011695399939e-06
3555,1.2743158777084318e-06
2665,1.2720891504613974e-06
186,1.2674822755798232e-06
3111,1.2674331060225086e-06
2507,1.263907392967667e-06
2729,1.2636004953492375e-06
679,1.2601946650647733e-06
2242,1.2562881579469831e-06
3044,1.254853600585193e-06
3414,1.2518845551312552e-06
3182,1.2463664802453422e-06
2417,1.241843733623682e-06
2058,1.2381065062072594e-06
3540,1.2374795801406435e-06
775,1.2359448078314017e-06
1719,1.233848422543815e-06
427,1.2337599741840677e-06
372,1.2321656868152786e-06
3123,1.2319582651798555e-06
112,1.2295045621613099e-06
2090,1.227409484272357e-06
1068,1.2252737064955e-06
2968,1.210574794185959e-06
644,1.2090504810657876e-06
3257,1.2087129448445921e-06
1355,1.2048743656123406e-06
2353,1.1977098779425432e-06
1655,1.1973253890573687e-06
1582,1.194429842144018e-06
809,1.1937995054722705e-06
1002,1.1928307799280446e-06
3017,1.1916056905647565e-06
1086,1.1904075449820084e-06
3282,1.1878453278768575e-06
2418,1.1844558400753158e-06
991,1.1825420642708195e-06
3842,1.1791636893576651e-06
1665,1.1782730098275351e-06
661,1.176917635348218e-06
2306,1.1751819215533033e-06
3166,1.1745383403649612e-06
3806,1.1740611398636247e-06
244,1.1732325333468907e-06
565,1.163833530881675e-06
7,1.153518212504423e-06
2122,1.1534425539139193e-06
3556,1.1485928723686811e-06
498,1.1481253920919698e-06
3721,1.146329452694772e-06
2119,1.146055012668512e-06
470,1.1455649087110942e-06
1942,1.1444207643762638e-06
2343,1.1433943427618942e-06
3761,1.142911685292347e-06
83,1.1428285802139726e-06
502,1.1402715927033569e-06
3427,1.1388441407689243e-06
783,1.1352018418619991e-06
1840,1.1283171374998346e-06
429,1.1277284102106933e-06
2921,1.1277163594058948e-06
2643,1.1272725259914296e-06
1081,1.1260487440267752e-06
1096,1.1238773822697112e-06
3383,1.1233414625166915e-06
344,1.1199441587450565e-06
1235,1.1180393642007402e-06
1336,1.1135743420709332e-06
500,1.1127359016427363e-06
2293,1.1103386441391194e-06
2584,1.1092073464169516e-06
2319,1.1072839924963773e-06
3756,1.1068021308346943e-06
3613,1.1065012870403734e-06
2447,1.1046528243241482e-06
1918,1.098498017881866e-06
2873,1.096237781439413e-06
528,1.0911996639606514e-06
1657,1.0844672715393244e-06
2601,1.0828969720932946e-06
1307,1.0818252746958024e-06
3500,1.0809387447352492e-06
2879,1.079898481748387e-06
3215,1.0777820307339425e-06
2712,1.0763191653495596e-06
1670,1.0739110507529404e-06
782,1.072902733767478e-06
658,1.0716130987020733e-06
1294,1.0706892226153286e-06
3300,1.0694273555600375e-06
3827,1.068794574621279e-06
3604,1.06857447690345e-06
891,1.063952367985621e-06
53,1.0617916643695935e-06
3749,1.0602098541312444e-06
3200,1.059507212630706e-06
1108,1.0587825727270683e-06
3461,1.0557577638792282e-06
3798,1.0489044370842748e-06
863,1.0468050959389075e-06
81,1.0461789372584462e-06
3698,1.043171494075068e-06
206,1.0429907888465095e-06
2371,1.03234103221439e-06
2070,1.0288780458722613e-06
3176,1.028653116463829e-06
2738,1.028154883897514e-06
1397,1.025934523113392e-06
346,1.0222299238193955e-06
