n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.8812908992306927,0.7219280948873623
3,10,0.9372305632161295,0.6309297535714574
4,10,0.9854752972273345,0.6804820237218406
5,10,0.9674887648835618,0.8488422181524448
6,10,0.9464119282150146,0.8208738402570188
7,10,0.529136977143802,0.8714392773956556
8,10,0.9739760316291209,0.7903168648182229
9,10,0.7717656864304008,0.8586727110732549
10,10,0.8193820026016112,0.8795880017344075
1,50,1.0,1.0
2,50,0.9580420222262997,0.9895875212220555
3,50,0.9801625908629507,0.9974233736309365
4,50,0.9949660273229044,0.9971082643043144
5,50,0.9873971134941196,0.9802987648813278
6,50,0.9817160161300541,0.9908357516486266
7,50,0.9558726550779457,0.9751971514171233
8,50,0.9851544604254981,0.9567050839645044
9,50,0.9880938228581361,0.9601460031461303
10,50,0.9559310262364891,0.977759631804565
1,100,1.0,1.0
2,100,0.9814538950336537,0.9858150371789199
3,100,0.9935132779478901,0.9899449185263031
4,100,0.9907425476421204,0.9879904859083348
5,100,0.9920132712932895,0.987540424390985
6,100,0.9918856380562971,0.9925942240619184
7,100,0.9863350992866895,0.9835902053872765
8,100,0.9903783109206912,0.9861226157499536
9,100,0.9912524695070303,0.9909983813427712
10,100,0.983061105781904,0.9836816596691573
1,500,1.0,1.0
2,500,0.9995844639313985,0.9962572968375276
3,500,0.9978334194804588,0.9982890746381682
4,500,0.9998963036566011,0.998564327955442
5,500,0.9984808389669588,0.9994903227247214
6,500,0.9992913473946405,0.9992551459029898
7,500,0.9962685812035537,0.998891456753263
8,500,0.995235031948791,0.9982385194246669
9,500,0.9968765350145614,0.9987665568262625
10,500,0.9977650898421947,0.9978594084946492
