Top K,FOIF Entropy,TracIn Entropy
10,0.7591760034688149,0.8193820026016113
50,0.9268953097940483,0.9695230564472828
100,0.9782494447223896,0.9948743696892017
150,0.9777023506472045,0.9952291233977254
200,0.98346163347665,0.993187929911149
250,0.9901768260121007,0.9917149172653404
300,0.9907041383634568,0.9929228603957504
350,0.9925027890651963,0.9941084686262598
400,0.9934090903245472,0.9966701700450654
450,0.9937601867098265,0.9972275615331075
500,0.9945258238219645,0.9973491519970519
