Top K,FOIF Entropy,TracIn Entropy
10,0.8193820026016112,0.8795880017344075
50,0.9559310262364891,0.977759631804565
100,0.983061105781904,0.9836816596691573
150,0.9905189266351718,0.9914924989588342
200,0.9948526328580075,0.9951611095753234
250,0.9949319810677082,0.9958043320937421
300,0.9972967597028355,0.9967160183772422
350,0.9974947677292275,0.9974800577653082
400,0.9985226144644873,0.9978053247235862
450,0.9981091332011739,0.9981055113730325
500,0.9977650898421947,0.9978594084946492
