n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,1.0,0.9709505944546688
3,10,0.9372305632161295,0.9911594714322187
4,10,0.9232196723355077,0.9854752972273345
5,10,0.9138646883853215,0.8488422181524448
6,10,0.8690413667681064,0.8690413667681063
7,10,0.8983289127685206,0.8270874753469161
8,10,0.7903168648182228,0.7903168648182228
9,10,0.558672711073255,0.6693937850018178
10,10,0.7591760034688149,0.8193820026016113
1,50,1.0,1.0
2,50,0.9895875212220555,0.9988455359952018
3,50,0.9899449185263031,0.9862903749247763
4,50,0.9853821813126735,0.9937623860875372
5,50,0.9908098840459723,0.9937508914875708
6,50,0.970314927314386,0.9848495804518013
7,50,0.9637334569957275,0.9638892142642943
8,50,0.9357550635307176,0.9928961901503658
9,50,0.926158940704831,0.9844891062048348
10,50,0.9268953097940483,0.9695230564472828
1,100,1.0,1.0
2,100,0.9953784388202258,1.0
3,100,0.9982774185050796,0.9956336642086434
4,100,0.9974219925478429,0.989102077734323
5,100,0.9971651375114271,0.9937508914875708
6,100,0.9925942240619183,0.9889045923363331
7,100,0.9889425360762846,0.9903998530868217
8,100,0.9756466440167347,0.9751817981417983
9,100,0.9690457434503694,0.9926298762077597
10,100,0.9782494447223896,0.9948743696892017
1,500,1.0,1.0
2,500,0.9986030202378096,1.0
3,500,0.9992927607510432,0.9991310731481983
4,500,0.9992011752521975,0.9988007383920956
5,500,0.9979797083877515,0.9989352697286353
6,500,0.9992729965316591,0.9991009647766379
7,500,0.998746067878201,0.9958915743945952
8,500,0.997282661860726,0.9964155216124279
9,500,0.996390679209673,0.9968110923122743
10,500,0.9945258238219645,0.9973491519970519
