Train_ID,Score
17596,5.4776854085503146e-05
35888,5.119919478602242e-05
9493,5.0256814574822783e-05
30434,4.779066875926219e-05
46369,4.7498220737907104e-05
15977,4.710220400738763e-05
3393,4.460106174519751e-05
47782,4.339775932749035e-05
43288,4.322257973399246e-05
18070,4.312724558985792e-05
4252,4.0282141981151653e-05
33536,3.9546627249364974e-05
25491,3.852142981486395e-05
39139,3.783080137509387e-05
28346,3.756636033358518e-05
38829,3.710239161591744e-05
36909,3.687212029035436e-05
10393,3.627335172495805e-05
22963,3.621671021392103e-05
51648,3.617697257141117e-05
52097,3.6033307424077066e-05
11369,3.571240267774556e-05
18043,3.569317232177127e-05
40527,3.5334860058355844e-05
51463,3.531082893459825e-05
29750,3.522721817716956e-05
22274,3.50826267094817e-05
24060,3.50284553860547e-05
4446,3.4231526115036104e-05
49983,3.396262400201522e-05
8364,3.3930504287127405e-05
11431,3.3672855352051556e-05
35948,3.364454641996417e-05
34025,3.3429831091780216e-05
47221,3.3374176837241976e-05
47211,3.3366030493198195e-05
42990,3.3218104363186285e-05
35205,3.313333490950754e-05
43214,3.31228225149971e-05
3173,3.29639260598924e-05
27644,3.283619707872276e-05
47912,3.2825893413246376e-05
26473,3.276790539530339e-05
4953,3.275834114901954e-05
46029,3.235009307900327e-05
33487,3.233225470467005e-05
25688,3.2314595955540426e-05
27262,3.228502328056493e-05
38938,3.196707166353008e-05
17315,3.184846536896657e-05
34528,3.184502156727831e-05
46457,3.168243620166322e-05
23970,3.1408757422468625e-05
27291,3.1325188274422544e-05
48155,3.108209466518019e-05
32462,3.107451993855648e-05
34714,3.09230445054709e-05
16181,3.0911141493561445e-05
10727,3.088823359576054e-05
19269,3.088577250309754e-05
8846,3.078232111874968e-05
5207,3.0516943525071838e-05
28237,3.0463018447335344e-05
35096,3.0341288038471248e-05
9456,3.032869972230401e-05
4285,3.0176262498571305e-05
22879,3.014326375705423e-05
31704,3.0130720460874727e-05
34269,3.0027848879399244e-05
37967,2.997144633809512e-05
32250,2.982209662150126e-05
773,2.972989204863552e-05
2691,2.9684947548958007e-05
51599,2.9625210117956158e-05
47476,2.9595556497952202e-05
37708,2.9439386707963422e-05
1771,2.901725201809313e-05
31253,2.8986110010009725e-05
17300,2.88167593680555e-05
9581,2.8662796466960572e-05
50821,2.8656098038482014e-05
21510,2.8617865609703586e-05
4977,2.8533241675177123e-05
35179,2.8245194698683918e-05
4028,2.8195228878757916e-05
8783,2.8158929126220755e-05
1945,2.8120924980612472e-05
29172,2.8095509151171427e-05
24460,2.8091541025787592e-05
26910,2.8077281058358494e-05
7261,2.805204985634191e-05
8784,2.8034471142746042e-05
30533,2.7958194550592452e-05
30541,2.7953137760050595e-05
45852,2.7882939775736304e-05
4797,2.7862201022799127e-05
46393,2.781563307507895e-05
31724,2.7814905251943856e-05
35666,2.76897458206804e-05
2183,2.765484168776311e-05
33628,2.764799864962697e-05
44773,2.7614537202680367e-05
24815,2.7610030883806758e-05
20507,2.7594882340054028e-05
15694,2.747015059867408e-05
41129,2.735548150667455e-05
23349,2.7348261028237175e-05
30652,2.7282224436930846e-05
22686,2.7212594432057813e-05
23696,2.7187223167857155e-05
50285,2.7148476419824874e-05
1207,2.714398124226136e-05
488,2.7141868486069143e-05
44483,2.709871887418558e-05
32427,2.7072507691627834e-05
16618,2.702891742956126e-05
7121,2.6954186978400685e-05
20095,2.6936493668472394e-05
7765,2.687712367333006e-05
6130,2.6874240347751766e-05
20829,2.6828000500245253e-05
10281,2.6758195190268452e-05
2613,2.6747507035906892e-05
53578,2.6731838261184748e-05
23830,2.6701840397436172e-05
17475,2.6642037028068444e-05
38008,2.6633640118234325e-05
17593,2.6536946279520635e-05
26909,2.6374355002189986e-05
20754,2.6202600565738976e-05
34877,2.6194988095085137e-05
44432,2.6134855943382718e-05
51316,2.6123247153009288e-05
11650,2.6121911105292384e-05
28525,2.6040497459689504e-05
2812,2.603380289656343e-05
40098,2.6030537810584065e-05
2172,2.6022695237770677e-05
19744,2.5994380848715082e-05
27204,2.5982018996728584e-05
24062,2.5952859914468718e-05
3423,2.5946817004296463e-05
2444,2.594378838693956e-05
20547,2.588409188319929e-05
27780,2.586146911198739e-05
51399,2.5821049348451197e-05
1284,2.5790053769014776e-05
2648,2.5739956072357018e-05
36233,2.5657875085016713e-05
18220,2.556822892074706e-05
19671,2.5507882583042374e-05
34991,2.549608780100243e-05
29451,2.54205078817904e-05
29432,2.540353852964472e-05
8542,2.5378654754604213e-05
16230,2.5373079552082345e-05
41877,2.53730559052201e-05
40815,2.5354570425406564e-05
24934,2.5299772460130043e-05
17857,2.5273748178733513e-05
43565,2.5258337700506672e-05
52772,2.521061378502054e-05
33663,2.5139351919278852e-05
9466,2.512649734853767e-05
10313,2.5114641175605357e-05
8350,2.510461854399182e-05
44814,2.508641227905173e-05
13794,2.506894088583067e-05
50292,2.5059493054868653e-05
15304,2.5037029445229564e-05
49642,2.5005176439663046e-05
25481,2.497615059837699e-05
2980,2.493556849003653e-05
15869,2.4846821133905905e-05
25824,2.480754210409941e-05
38388,2.4807467525533866e-05
31125,2.480583316355478e-05
24991,2.478749320289353e-05
34558,2.476862277944747e-05
42395,2.469179071340477e-05
19182,2.4664363081683405e-05
4950,2.4627048333059065e-05
24425,2.4607036721135955e-05
13923,2.457125219734735e-05
18308,2.455613503116183e-05
4089,2.4520560600649333e-05
28846,2.4487264454364777e-05
15055,2.4481519176333677e-05
17838,2.4473833491356345e-05
39205,2.4470138669130392e-05
21071,2.4404065698035993e-05
40929,2.4389101781707723e-05
1226,2.4350898684133426e-05
48577,2.4307557850988815e-05
44454,2.4301823941641487e-05
28378,2.42740261455765e-05
21385,2.425077218504157e-05
29040,2.424452441118774e-05
15059,2.4146150281012524e-05
41459,2.413547827018192e-05
19920,2.411166246929497e-05
48585,2.4108179786708206e-05
39692,2.403903386039019e-05
18589,2.40363060584059e-05
33737,2.4031101020227652e-05
21468,2.402598465778283e-05
26616,2.4006051717151422e-05
6218,2.399817640252877e-05
21277,2.397688285782351e-05
33381,2.396357058387366e-05
53184,2.3940246705933532e-05
25939,2.3908839921205072e-05
7693,2.3880561457190197e-05
16915,2.3860113287810236e-05
8098,2.378421368121053e-05
11771,2.3735953618597705e-05
31598,2.3730920929665444e-05
23107,2.369884668951272e-05
15962,2.36705964198336e-05
6938,2.3643024178454652e-05
10438,2.363840121688554e-05
9133,2.359611471547396e-05
4575,2.3528120436822064e-05
31058,2.345443317608442e-05
52085,2.3442829842679203e-05
45344,2.343412234040443e-05
16115,2.3425307517754845e-05
32127,2.342240622965619e-05
33135,2.3385420945487567e-05
15383,2.335461681468587e-05
44673,2.330973757125321e-05
16568,2.3283188056666404e-05
17632,2.3257535531229223e-05
52863,2.319522354810033e-05
32054,2.3184039491752628e-05
10460,2.3179553409136133e-05
50954,2.317408780072583e-05
3924,2.3142861437008833e-05
27352,2.3126040332499542e-05
37215,2.3102796603780007e-05
24588,2.3097148641681997e-05
4557,2.305677298863884e-05
20345,2.301729273312958e-05
18422,2.301596441611764e-05
