Train_ID,Training_Loss
1049,6.699338e-05
8125,6.687417e-05
241,0.00046171018
11660,0.00014411363
14743,8.403901e-05
6858,8.1655024e-05
11984,0.00021848675
9647,1.633154e-05
6227,0.0020005943
1052,0.0044056736
1553,6.520535e-05
10907,0.0017203783
3792,0.0035790456
5607,0.009884577
2987,0.00020787939
7762,0.01191652
6099,0.024690611
2216,0.0006989182
2607,0.00025626714
1941,0.0002172949
3627,0.0002767657
6789,0.006246804
14500,0.009613411
13187,2.5629666e-05
1507,0.0006933193
13175,1.3232143e-05
9414,8.7972585e-05
6958,9.774684e-05
13150,0.00071392796
10011,0.67009073
11722,0.0013299678
11974,0.0002745013
5877,0.00015007323
8413,0.000404872
822,0.00089914893
15673,0.0037798882
14731,0.008037485
8904,5.9483664e-05
13868,0.0046330485
6938,0.0023944299
4505,0.19977061
8897,0.00027497803
16336,0.00012206286
11312,0.00626481
5234,0.010366758
14035,0.00039093
9365,0.0048551518
2891,0.008714147
8405,5.411955e-05
9978,0.0016650398
12457,0.00026437125
14031,0.0001571055
8872,0.02763917
8943,1.001353e-05
1920,9.548208e-05
410,0.1482762
8303,7.27174e-06
15186,0.035700794
9880,0.0059798625
8969,0.011147008
15079,7.819823e-05
6039,3.8299987
2404,0.0015082901
3429,0.0010212213
15954,6.3298125e-05
726,1.7642818e-05
14968,0.0014996007
11802,0.00019596086
8219,0.0031156829
6326,0.0016305259
9955,9.250213e-05
2999,6.568216e-05
14001,2.5152842e-05
3630,0.0033806576
15796,0.00024697115
13908,0.0019731114
15541,0.0018504414
14174,0.00858462
471,0.003696159
1531,8.344616e-06
7979,0.0019165974
5426,0.0065265833
7839,0.0002559096
4634,0.0013846105
3711,0.0016624215
1129,5.1259863e-06
140,2.7894584e-05
15268,0.000985018
1889,0.10456019
9239,7.450303e-05
11392,1.12056105e-05
8542,3.659658e-05
10914,0.014317875
11891,0.0017219255
1672,0.083211154
6636,0.54021776
1475,0.031880423
9467,0.0016180293
14806,6.234451e-05
14346,0.00040868513
3834,0.00028010263
4896,0.0016920548
13616,0.00033980794
2002,2.6702524e-05
7103,0.00038223114
2294,0.0015016242
3791,0.04625649
10582,0.23353845
14768,0.0002244459
7220,0.0034882908
11381,0.006289688
6944,2.7060141e-05
3640,0.0005926522
759,0.00051735365
1761,0.0003868785
15691,0.00086544245
8026,0.0028675175
13611,7.295343e-05
5597,0.09878183
15429,0.0021266956
11706,1.5020258e-05
4066,1.0728779e-05
16170,0.0006043277
6280,0.0010800487
13104,0.0001275458
6978,0.00053498737
15761,7.98699e-06
15772,4.4106466e-05
15685,0.0002124084
1402,0.00049006846
14131,0.010336673
10288,0.00012027493
12054,0.0004935238
13495,0.00090117357
5596,0.0004648082
5508,0.00032634175
166,0.0027507823
199,0.0017835675
14863,0.016689563
5372,0.0018813782
4830,1.3113013e-06
16380,0.00027664646
16181,0.0017922544
13151,0.0006243426
4599,2.8610189e-06
6780,0.00021884432
7092,2.4079987e-05
15215,0.00024756702
3193,0.00014840455
8539,0.07422048
1933,0.000103349106
9830,0.4120643
10403,4.1722382e-05
10464,0.027257474
1458,0.0019489595
2706,0.00090010173
15003,4.8159396e-05
3869,0.002455793
10787,0.016618162
7460,0.0003270568
3449,0.0018168862
5241,8.809178e-05
5470,0.0033017667
10381,0.0016720613
11897,0.00023004747
2039,0.20362358
11851,3.266281e-05
9530,0.00050412817
3098,2.1815062e-05
13286,0.00029642956
10267,0.017289514
8508,0.00079612026
3303,0.10221324
13714,0.00031406715
11208,7.497983e-05
10401,0.00072095625
3555,0.003976534
4633,0.007018081
7405,0.00018976319
14303,0.0041384776
8043,0.00010287232
2588,0.00013684291
9777,0.1703578
15644,0.0075779594
15115,0.019281693
14639,0.0118101435
14073,0.12945868
1408,0.0002209896
13366,0.00042143522
9240,0.000113242415
15959,0.00078528083
13255,9.059496e-05
8143,0.0012479384
8527,0.0002531685
969,0.23395261
149,0.00015496007
8203,0.0031013032
4302,0.006194321
1225,0.0031376674
15962,0.0038251344
524,3.5166122e-05
13565,0.000111216075
74,0.004359029
