Train_ID,Score
2152,9.230233899870655e-06
1366,6.6730667640513275e-06
1457,5.6723440593486885e-06
2287,3.1213037345878547e-06
2194,2.873449147955398e-06
1194,2.8672230882875738e-06
1850,2.8588733584911097e-06
646,2.8345903047011234e-06
1807,2.606754947009904e-06
770,2.5696792818052927e-06
854,2.5646742187745986e-06
2890,2.4998232674988685e-06
276,2.4556037487855065e-06
2135,2.3831173621147173e-06
590,2.374825726292329e-06
1139,2.3404292051054654e-06
1298,2.3134232378652086e-06
2627,2.3134089133236557e-06
2486,2.290373572577664e-06
1973,2.2887469413035433e-06
2695,2.2213675947568845e-06
482,2.1907247855779133e-06
908,2.190100076404633e-06
994,2.1817844526594854e-06
1874,2.14408976262348e-06
1480,2.122971636708826e-06
2575,2.1162052235013107e-06
2105,2.065640956061543e-06
2979,2.0507221734078485e-06
255,2.0502590132309706e-06
1149,2.0147642771917162e-06
58,2.013880703088944e-06
2622,1.9956679579991032e-06
1489,1.9901583527826006e-06
666,1.963012664418784e-06
2051,1.9623140588009846e-06
2728,1.9620303532974503e-06
511,1.9537825437510037e-06
1335,1.948412261754129e-06
2898,1.9476137254059722e-06
152,1.9472702774692152e-06
162,1.9307318552819197e-06
90,1.9063213585468475e-06
933,1.8997629922523629e-06
2146,1.8971282429447456e-06
1394,1.88653018540208e-06
2040,1.875322539035551e-06
1585,1.8630120734997035e-06
291,1.856617870998889e-06
2387,1.8558461647444346e-06
1712,1.8502180409996072e-06
1328,1.8446429521645769e-06
2863,1.8443514591126586e-06
1714,1.828927111091616e-06
1562,1.8263301058141224e-06
1852,1.8219806747765688e-06
211,1.8050019434667774e-06
2500,1.800010863917123e-06
923,1.7960659874916018e-06
1760,1.792653904431063e-06
2189,1.7897868360705615e-06
1488,1.7882271663438587e-06
368,1.7815277146837616e-06
920,1.7706716448628868e-06
1395,1.7663317635197018e-06
182,1.7662521827332966e-06
799,1.7630803199608636e-06
2583,1.7472743252255896e-06
1023,1.7421292000108224e-06
205,1.7414498643120169e-06
2099,1.7403049241693225e-06
2595,1.734571412725927e-06
2428,1.7338730344818032e-06
450,1.7287256923737004e-06
