Train_ID,Training_Loss
11656,0.0006188623
11306,0.0010431331
5069,0.0017297795
1109,0.24318409
7768,0.005346405
11757,0.0032064712
7029,0.0010076452
543,0.0017193073
5230,0.021333743
727,0.0064743524
9422,0.0062829354
16006,0.0096374955
14767,0.0035109802
11649,0.0039003028
12876,0.005138405
13693,0.017150193
10527,0.0012517483
7165,0.001129466
4544,0.005654412
13319,0.014986545
2205,0.019117504
8155,4.3748852e-05
14129,6.8781395e-05
7567,0.0159121
13679,0.013671923
14926,0.0011937643
9141,0.16739462
3259,0.06572799
10241,0.0020199865
13056,0.06796347
12217,0.001016815
15188,0.018075153
5432,0.009971213
13211,0.00024935475
1369,0.26293114
14944,0.0023886026
6986,0.0041899993
14044,0.0029687877
4574,0.030290544
13427,0.010933845
11996,0.00081660773
15290,0.0009136793
6216,0.0045147394
15027,0.0018768568
3409,0.0026383137
2293,5.027095
15474,0.0017308507
14255,0.0006625841
10339,0.0015036478
6165,0.075980544
14999,0.028018864
14047,0.009546581
9308,0.0024430687
6270,0.3041109
3839,0.7482415
4596,0.021812886
4580,0.00014459042
11124,0.08785608
16392,0.0061639915
7932,0.0075004636
9188,0.0005241451
12650,0.0018886363
14514,0.010799298
4914,0.018612612
1986,0.0017272806
8702,0.011363192
1240,0.007970433
9104,0.00030727434
3748,0.0014809128
13088,0.42260283
15241,0.35473445
9098,0.0009140366
1648,0.0014392504
284,2.2530301e-05
16413,0.0026831361
8990,0.089041315
11166,0.008946335
14873,0.002438193
12605,0.0044463817
13101,0.025990024
6246,0.0009631048
2257,0.0014813889
11832,0.06633103
926,0.015191098
2356,0.035960726
16352,0.007218471
12618,0.25234592
3754,0.03228137
13958,0.0012354369
14892,0.0010823113
4748,0.10854527
13234,0.007991483
13963,0.0054417336
13789,6.3758836
13903,0.041749757
6145,0.0025263082
6138,0.0033743607
7133,0.0043136883
129,0.29579774
1927,0.0041300487
12541,0.48610705
9972,0.0029163708
16319,0.002850638
4877,2.0532842
6652,0.0017416799
14677,0.0005745429
8953,0.022201562
7451,0.036425903
1583,0.28467342
7319,0.00018153928
2524,0.008683068
10521,0.06958246
12288,0.003050676
14442,0.5417707
6702,0.013411191
6066,0.012110396
14019,0.0062093674
7130,0.0014632958
4379,0.06419039
1896,0.0003206216
13610,8.928377e-05
2321,0.001281989
1768,0.0018486568
9748,0.0040214155
9551,0.003582609
12376,0.00013660452
1728,0.28909257
13394,0.0014660336
14894,0.0040573906
8363,0.006329964
13313,0.004671612
16057,0.0029097146
13177,0.017508823
10931,0.008198299
12464,0.025841689
15397,0.002447112
3980,0.002192952
16333,0.00042405672
11205,0.01984433
407,0.00023326537
11685,0.0026526998
16164,0.08630098
259,0.0044379556
16387,0.0010105033
13252,0.0048069865
4248,0.0031419457
16094,0.14699678
8418,0.0037657553
2001,0.0030253616
671,0.0072988286
14636,0.00011657989
5293,0.007767
15905,0.002306541
14778,0.0015831568
2410,0.0048773363
7048,0.22302768
9610,0.07905818
11526,0.26298237
6918,0.021623332
9798,0.00056179473
9136,0.00657135
12798,0.0025377232
3229,0.002278472
15765,0.00021634146
2444,0.0054439865
6208,0.06938496
10161,1.7698582
3488,0.0021464422
16041,0.6787685
13776,0.0013249676
6423,0.00060397026
5259,0.018007014
1153,0.008331543
806,0.0014457975
12683,0.00013433985
9447,0.00295607
1661,0.00016795179
5792,0.00069713127
5091,0.009765589
4105,0.0036700293
4247,0.008934757
15463,0.007132189
7884,0.00060373195
4841,0.0013268724
4437,0.00013433985
12500,0.014155457
8203,0.0012207921
12709,0.017946364
7676,0.00063399243
12712,0.00025638632
15151,0.0057613268
6120,0.016461393
1919,1.0091571
11141,0.00090427033
6641,0.09047892
1802,0.054283947
11851,0.002702515
1442,0.0023752828
11519,0.00022861728
12838,0.0016636116
2673,0.16430227
6383,0.3636171
6939,0.08838056
14775,0.009313588
8132,0.0012991331
589,0.0006361368
7902,0.0038562473
353,0.0028681117
6446,0.002848855
2537,3.349725e-05
1668,0.0017328736
8474,0.0020302178
11404,0.008949525
16451,0.003276696
1237,0.025968883
11298,0.0018052248
3139,0.050837513
3569,0.003944119
5836,0.0004421687
4917,0.024537547
14315,0.0014809128
13306,0.059179828
8507,0.001951815
5853,0.0019248069
1175,0.008685313
16208,0.025415028
2398,0.001596368
12737,0.0013286582
2827,0.002668037
15485,0.008314873
14027,0.41924426
8844,0.002094815
10109,0.004173617
16290,0.0044315467
15515,0.0041721924
4634,0.017121132
15190,0.010279214
8435,0.0013003236
13236,0.004323896
8381,0.00014816617
3797,0.0028452887
8517,0.0048422213
15176,0.00043918978
893,0.00048482584
15772,0.03363436
3878,0.019128498
9583,0.0011694743
2597,0.0051974654
7749,0.01602156
7336,0.0066951006
3158,0.0035169197
7135,0.15439728
13147,0.009486478
4148,0.00014757022
15346,0.001761553
16433,0.00253808
2140,0.000990377
9590,0.0014147284
7761,0.0054135155
6858,0.0026003853
14444,0.0026553154
5284,0.0017433459
15491,0.0030273818
15919,0.06632924
2274,0.0030004028
15616,0.0030052757
8147,0.0028950942
1630,0.0016689671
94,0.0016107692
7275,0.005588622
8080,0.0019032713
15965,0.34313115
13360,0.009222526
8101,0.0043511954
1467,0.012749118
10331,9.536698e-06
7731,0.0040178536
5068,0.0027207045
9164,0.006040294
8739,0.0017738098
14426,1.1324818e-05
1314,0.013433539
11564,0.007939329
1365,0.32036662
8308,0.0068347007
7437,0.0035725122
6231,0.2646572
2729,0.011575676
9649,0.047414746
14406,0.0007397776
6866,0.0043902444
2614,0.0055677574
12048,0.006062926
14439,0.0011401826
1473,0.003294994
13826,0.00039903307
15202,0.00032598426
11333,0.0020042823
12756,0.0035026646
1904,0.0006308949
9233,0.007903612
5256,0.0055983425
14225,8.201263e-05
695,0.09714986
12018,0.0040347134
2879,0.00034695806
2305,0.00012480434
7170,0.0010378934
12260,0.18441223
15228,0.0031304187
8434,0.010102095
7748,0.005647063
15576,0.008306952
12864,0.0019722788
13625,0.18840677
13260,0.024200745
15776,0.008942318
12780,0.0057341843
3204,0.0053588552
198,0.0043478725
13839,0.005963983
1410,0.0009690595
3708,0.06999781
13932,0.14108106
6575,0.00089367025
14600,0.0028603852
15410,0.0005189026
835,0.0055255536
8453,0.002746027
3926,0.0026088273
4272,0.004267277
123,0.0025870686
1192,0.0015641133
5804,0.0015600665
4060,0.0007163104
9330,0.0068849
10485,0.008501765
15083,0.015150355
13604,0.020759214
7922,0.12568156
878,0.005723991
12309,0.009196777
4098,0.0037019786
2469,0.002161906
11728,0.0022437416
15059,0.005870126
5153,0.039552115
14134,0.0039470876
3226,0.16590255
5899,0.0008486484
5656,0.0050224094
1381,0.082323454
5186,0.0053973906
9613,0.03780188
13256,0.011315575
3632,0.032365277
9636,0.000996927
12892,0.0066550756
2604,0.0036659911
15857,0.0026228572
1026,0.00021109737
10639,0.00028093683
5981,0.0072774086
2561,0.00085031585
3693,0.008164483
10098,0.0017245434
2631,0.00013398226
12253,0.0042987326
8669,0.0014736517
7051,0.005031068
1561,0.0039695287
7582,7.855584e-05
6264,7.0333235e-06
1285,0.011901796
10010,0.0019873884
16338,0.022832476
10408,0.005970856
4899,0.00027021096
2998,0.0026064492
185,0.06252892
10132,0.0014054431
15161,0.0036617152
10692,0.0008123197
15451,0.0020299798
4165,0.07022664
6281,0.13906291
15287,0.003185082
16459,0.13951528
14575,0.1666745
2384,0.00092725665
8896,0.00057073036
8713,0.0047429204
14746,0.0027967885
16272,0.19949998
8996,0.00046159103
938,0.10455804
12446,0.00016616394
4106,0.0015244778
16205,0.1860079
7310,0.0029407372
7971,0.0003201449
14352,0.0041127154
5370,0.008184347
15941,0.0054620076
3796,0.0040169037
428,0.00254569
13682,0.0005797851
14464,0.01882789
13112,0.005052655
4652,0.0051195477
7385,0.0009170141
9979,0.023033332
15751,0.0017901125
5766,0.0041204323
14638,0.0011032692
2504,0.018605474
245,0.00026663562
4821,0.001218887
3608,0.00795494
14450,5.149709e-05
6,0.052302774
8834,0.02854452
6581,0.00036793138
15040,0.0007740839
15634,0.019245677
