Top K,FOIF Entropy,TracIn Entropy
10,0.8193820026016112,0.7364516253185087
50,0.9611018881799177,0.9723615802716635
100,0.982476549157417,0.9779570798527205
150,0.9855473946101448,0.9802499795974478
200,0.992978885906401,0.9845213289990175
250,0.9924377755316144,0.9875803159208716
300,0.9924048078452392,0.9939695454529387
350,0.9923878648740853,0.995711048999266
400,0.9918005548767319,0.9952551286241142
450,0.9942631594236516,0.9953296310414717
500,0.9962241289026484,0.9961935114741282
