Top K,FOIF Entropy,TracIn Entropy
10,0.7591760034688151,0.7591760034688149
50,0.9636792762951439,0.9795085802896356
100,0.9853320460416388,0.989093607145382
150,0.9958860408278621,0.9947782439655887
200,0.9955258478319792,0.996913476844392
250,0.9971599046477528,0.9976383180559313
300,0.9970402853763496,0.9984865538042652
350,0.9964353362296428,0.998836688650768
400,0.9964838738145197,0.9981556108590065
450,0.9969672766490857,0.9975254000362802
500,0.9964995399142816,0.9973878848194909
