n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.9709505944546688,0.8812908992306927
3,10,0.6309297535714574,0.81734542214651
4,10,0.9232196723355078,0.9232196723355078
5,10,0.7952181416542046,0.9349775297671233
6,10,0.8690413667681064,0.8690413667681064
7,10,0.8714392773956556,0.8714392773956556
8,10,0.8154797815570052,0.8154797815570052
9,10,0.7955797357161093,0.7717656864304008
10,10,0.7364516253185087,0.796657624451305
1,50,1.0,1.0
2,50,0.9709505944546688,0.9895875212220555
3,50,0.9953399877068455,0.9939987916706561
4,50,0.9841336242494271,0.9924490326124676
5,50,0.9963792402622613,0.9643296281852876
6,50,0.9920785621177701,0.9650459254576256
7,50,0.9919736118447806,0.9815158602236596
8,50,0.9816073339212349,0.9877385641781948
9,50,0.9786865428121645,0.9715054778222479
10,50,0.9770619773231706,0.9474260047157049
1,100,1.0,1.0
2,100,0.9988455359952018,0.9988455359952018
3,100,0.9959981034374553,0.9959981034374553
4,100,0.9961658893273454,0.9848739793149883
5,100,0.9963792402622613,0.9975551485982841
6,100,0.9919166875066115,0.9931565931889005
7,100,0.9850199243164075,0.9916522159476157
8,100,0.9880672361204828,0.9894027859859952
9,100,0.9915397587901844,0.9867581022996182
10,100,0.9849505831940564,0.9873604326318677
1,500,1.0,1.0
2,500,0.9998961234639354,0.9990649315776106
3,500,0.999063436464313,0.9996334026853013
4,500,0.9967320717498435,0.9996907831815326
5,500,0.9985675644408383,0.9994570103944963
6,500,0.9986680346717077,0.998842912929991
7,500,0.9964173417569178,0.9988305251016688
8,500,0.998229303173676,0.998185646682154
9,500,0.998486863212674,0.9975935152582733
10,500,0.9987304902505223,0.9977764984612476
