Top K,FOIF Entropy,TracIn Entropy
10,0.7966576244513048,0.6762456261857126
50,0.9443602913018514,0.9438472297305396
100,0.9851724166345229,0.9879029412690349
150,0.9875717294567748,0.9809199934630496
200,0.9921367341259704,0.9835164660198114
250,0.9963553027269422,0.984558024292322
300,0.9980723378619494,0.9905689796074723
350,0.9976962168386251,0.9931667155605939
400,0.9977308850846135,0.9936843062163049
450,0.9975602585472475,0.9948351720852067
500,0.9975493838800423,0.9947156505315655
