n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.9709505944546688,0.9709505944546688
3,10,0.81734542214651,0.9372305632161295
4,10,0.9477309221191609,0.8427376486136672
5,10,0.9138646883853215,0.881353453268883
6,10,0.9756149631508356,0.7916708053211978
7,10,0.8983289127685207,0.6985094873598758
8,10,0.9073093649624542,0.7236501981515563
9,10,0.9217656864304008,0.6848586617875465
10,10,0.8795880017344075,0.7364516253185087
1,50,1.0,1.0
2,50,0.9814538950336537,0.9895875212220555
3,50,0.9772814847699423,0.9996334026853013
4,50,0.9924490326124676,0.9893442852255486
5,50,0.9802987648813278,0.9865785110526746
6,50,0.9977193089603039,0.9806077666099094
7,50,0.9639688889870913,0.9846058380857121
8,50,0.9665556510521469,0.9942748974538358
9,50,0.9614508043349683,0.995116431191391
10,50,0.9521802095285332,0.9817032573939433
1,100,1.0,1.0
2,100,0.9974015885677396,0.9988455359952018
3,100,0.994458345843335,0.9982774185050798
4,100,0.9991221195022814,0.9933987919377274
5,100,0.9996892029583239,0.993810773712665
6,100,0.9920368318910103,0.9911642416109623
7,100,0.9747844545800651,0.993694626300688
8,100,0.982279562180543,0.9892686867028165
9,100,0.9685070699054377,0.9903822714183523
10,100,0.9650724920809743,0.9900121756226028
1,500,1.0,1.0
2,500,0.9994343896240242,0.9949041692998885
3,500,0.9998982417137788,0.9933461203058375
4,500,0.9998738572487721,0.9970802197038693
5,500,0.9983391058340882,0.998164422715648
6,500,0.999369072691156,0.9974546870882565
7,500,0.9979964607123913,0.9972064693685797
8,500,0.999132011595854,0.999128025171153
9,500,0.998286709171656,0.9975057893050969
10,500,0.9970791989021938,0.9925953235794189
