n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.7219280948873623,0.9709505944546688
3,10,0.556032649876389,0.9372305632161295
4,10,0.6854752972273345,0.9477309221191609
5,10,0.8277293767706428,0.8488422181524448
6,10,0.8690413667681064,0.8690413667681063
7,10,0.8001978399740513,0.8714392773956555
8,10,0.8154797815570052,0.9073093649624542
9,10,0.7324867603589634,0.9217656864304008
10,10,0.7591760034688151,0.7591760034688149
1,50,1.0,1.0
2,50,0.9953784388202258,0.9953784388202258
3,50,0.9974233736309365,0.9974233736309365
4,50,0.9713263978969234,0.9994227679976011
5,50,0.9872132548588195,0.9963792402622613
6,50,0.9691625729949963,0.9964764984911606
7,50,0.9710581086025383,0.994735040831611
8,50,0.9515646505489008,0.9907277709495725
9,50,0.9799903024673796,0.9886218350975094
10,50,0.9636792762951439,0.9795085802896356
1,100,1.0,1.0
2,100,0.9858150371789199,0.99971144175281
3,100,0.9993656466540994,0.9985619145786561
4,100,0.9957165842388633,0.9980112570443621
5,100,0.9911159165462163,0.9978659456399604
6,100,0.9838726374799257,0.99880802080788
7,100,0.9755225949035063,0.9960273096287807
8,100,0.9786495461413112,0.9897738461010356
9,100,0.9842093465612813,0.9925201610755653
10,100,0.9853320460416388,0.989093607145382
1,500,1.0,1.0
2,500,0.9999884584088952,0.9999538332662392
3,500,0.999063436464313,0.9996706429236015
4,500,0.9998499477715798,0.9994397161709302
5,500,0.9979822679445443,0.9997273069118171
6,500,0.9982791222862619,0.9992206759375436
7,500,0.9976578593040175,0.9993289813144579
8,500,0.9950347426386181,0.9989937391087204
9,500,0.9972607334145751,0.9978569767642886
10,500,0.9964995399142816,0.9973878848194909
