Top K,FOIF Entropy,TracIn Entropy
10,0.8795880017344075,0.7364516253185087
50,0.9521802095285332,0.9817032573939433
100,0.9650724920809743,0.9900121756226028
150,0.9830721533131055,0.994260143727466
200,0.9921402636623038,0.9942717500594385
250,0.9941514574245113,0.9937160726967277
300,0.9945409805644931,0.9932198394666257
350,0.994974422502446,0.993429607701682
400,0.9963483517357177,0.9929671482503697
450,0.9973174260261224,0.9930749293613385
500,0.9970791989021938,0.9925953235794189
