n,K,FOIF Entropy,TracIn Entropy
1,10,1.0,1.0
2,10,0.9709505944546688,0.8812908992306927
3,10,0.9602297178607612,0.81734542214651
4,10,0.9232196723355077,0.8427376486136672
5,10,0.9349775297671233,0.7258946997275975
6,10,0.9756149631508356,0.7586044466395968
7,10,0.8714392773956556,0.6985094873598758
8,10,0.9073093649624541,0.653654682481227
9,10,0.8586727110732549,0.7479516371446921
10,10,0.8193820026016112,0.7364516253185087
1,50,1.0,1.0
2,50,0.9988455359952018,0.9895875212220555
3,50,0.9899449185263031,0.9724616681466846
4,50,0.9727983716508597,0.9449001693302413
5,50,0.9802247330592236,0.9255919931924006
6,50,0.9806998671726104,0.9336287546329964
7,50,0.9762176078718835,0.9383380959503772
8,50,0.9626823969794361,0.9511317734404298
9,50,0.9618428015972055,0.9621819124909068
10,50,0.9611018881799177,0.9723615802716635
1,100,1.0,1.0
2,100,0.9858150371789199,0.9988455359952018
3,100,0.9917205524666002,0.9937459149150215
4,100,0.9906576387006182,0.9854951026129675
5,100,0.9959486629339146,0.9724819363868977
6,100,0.9857825965670686,0.9818201989958946
7,100,0.9891620400981151,0.9826217935570348
8,100,0.9921826949184483,0.9760289578202197
9,100,0.9861443454820863,0.9758565138871285
10,100,0.982476549157417,0.9779570798527205
1,500,1.0,1.0
2,500,0.9990649315776106,0.9994343896240242
3,500,0.9994479259571967,0.9991310731481983
4,500,0.9966547503277903,0.9991110217386737
5,500,0.9961391286850304,0.9995591863072923
6,500,0.9968583371737002,0.99921545697762
7,500,0.9965557812430503,0.9982616335277716
8,500,0.9974164822151466,0.9971948773779126
9,500,0.9978674362045012,0.9973238695323852
10,500,0.9962241289026484,0.9961935114741282
