,10,20,24,28,32,36,40,44,48,52
10,1.0,0.953292816295721,0.9493077270175272,0.9454386603474131,0.9422915224893418,0.9408307210339465,0.9386699094161456,0.9361199231654816,0.9345865471290739,0.9318193937414062
20,0.953292816295721,1.0,0.9756500130583596,0.9658860091978566,0.9580512761983648,0.9545711068189758,0.9509531980050728,0.9451792796004409,0.9422820505809097,0.939879933974981
24,0.9493077270175272,0.9756500130583596,1.0,0.9765899190099776,0.9661241492412191,0.9610045073166008,0.9571891385889458,0.9507316267280577,0.9474382249373601,0.9447105216903052
28,0.9454386603474131,0.9658860091978566,0.9765899190099776,1.0,0.974491225554404,0.9665216301944856,0.9623891562462988,0.9552506849989472,0.9518306594781696,0.9488005383165773
32,0.9422915224893418,0.9580512761983648,0.9661241492412191,0.974491225554404,1.0,0.9784223708301882,0.9715525059671682,0.9632778323561305,0.9589802737736034,0.955719204999101
36,0.9408307210339465,0.9545711068189758,0.9610045073166008,0.9665216301944856,0.9784223708301882,1.0,0.9798039762863824,0.9689888474486127,0.9633547062167063,0.9595739993357038
40,0.9386699094161456,0.9509531980050728,0.9571891385889458,0.9623891562462988,0.9715525059671682,0.9798039762863824,1.0,0.9771210565642285,0.9704088322805878,0.9656332137687729
44,0.9361199231654816,0.9451792796004409,0.9507316267280577,0.9552506849989472,0.9632778323561305,0.9689888474486127,0.9771210565642285,1.0,0.9815488872938853,0.9733839556800638
48,0.9345865471290739,0.9422820505809097,0.9474382249373601,0.9518306594781696,0.9589802737736034,0.9633547062167063,0.9704088322805878,0.9815488872938853,1.0,0.9804076328697545
52,0.9318193937414062,0.939879933974981,0.9447105216903052,0.9488005383165773,0.955719204999101,0.9595739993357038,0.9656332137687729,0.9733839556800638,0.9804076328697545,1.0
