Train_ID,Highest_Loss_Influence,Median_Loss_Influence
1,3.020378790097311e-05,-7.891356545997041e-08
2,3.1727950045024045e-08,-8.851825522571133e-11
3,3.668630838394165,-0.0033106026239693165
4,8.943976581576862e-08,-9.205822909530426e-11
5,1.46359161590226e-06,-1.604469557214827e-09
6,-0.00415393803268671,8.288404842460295e-07
7,-4.891303062438965,0.003584986785426736
8,-1.499326174325688e-07,7.953885466926991e-11
9,-0.009896909818053246,8.48275885800831e-06
10,0.0021786175202578306,-5.5903929023770615e-06
11,-1.1153150796890259,0.001160856569185853
12,0.00410325825214386,-6.556659627676709e-06
13,3.047184122806357e-07,-3.850435248420325e-10
14,-0.07017142325639725,5.6229149777209386e-05
15,0.3555236756801605,-0.0003116612206213176
16,0.7382330298423767,-0.00029035485931672156
17,-0.0008232679683715105,6.875794156258053e-07
18,0.20713698863983154,-0.00029070634627714753
19,0.0030235673766583204,-7.938017915876117e-06
20,-1.0387635231018066,0.0024329819716513157
21,-1.2777386473317165e-05,8.900772563436021e-09
22,-0.013374993577599525,9.375352419738192e-06
23,0.0765407383441925,-3.893535540555604e-05
24,6.273851795413066e-06,-5.950982373548186e-09
25,0.5048277378082275,-0.00039745750837028027
26,0.0001247436011908576,-1.7116893502588937e-07
27,-0.16625362634658813,4.73128748126328e-05
28,-0.12958946824073792,0.00013227900490164757
29,0.0004637387173715979,-8.182560122804716e-07
30,2.2542113583767787e-05,-1.7977297872562303e-08
31,0.025186512619256973,-1.3574182048614603e-05
32,-0.8968139886856079,0.0009284886182285845
33,0.14895722270011902,-9.416295506525785e-05
34,2.975665269744354e-10,-1.9625791334958176e-13
35,-0.26252585649490356,0.00017484810086898506
36,0.001679551089182496,-1.1782550473071751e-06
37,0.037753790616989136,-1.870420601335354e-05
38,4.835418440052308e-05,-9.40930462434153e-08
39,-0.19420179724693298,0.00010159388330066577
40,2.1961805984904714e-10,-1.52732427399771e-13
41,-0.6088535785675049,0.0004405738727655262
42,-0.15120713412761688,7.763363828416914e-05
43,-0.0036504045128822327,2.779538135655457e-06
44,-0.9920610189437866,0.0009643867961131036
45,-0.00015158949827309698,9.04011869806709e-08
46,0.051969416439533234,-6.774990470148623e-05
47,3.7054693698883057,-0.004691687878221273
48,0.06996878981590271,-0.00014549581101164222
49,-0.02601289376616478,1.5080631783348508e-05
50,-0.01343440730124712,1.109615641325945e-05
51,0.029193133115768433,-6.234765896806493e-05
52,-3.369132400621311e-06,2.2255364218182194e-09
53,-0.07418118417263031,3.0517945560859516e-05
54,0.522711992263794,-0.00029798451578244567
55,1.2684652119787643e-06,-7.826670422872439e-10
56,5.572335339820711e-06,-1.5656340224268206e-08
57,0.0001676390238571912,-3.1686596457802807e-07
58,0.0022398540750145912,-1.9210585833207006e-06
59,-2.8768361516995355e-05,1.8145790647849935e-08
60,1.976584371732315e-07,-4.667535802305167e-10
61,-0.6692004799842834,0.0002446798316668719
62,7.51132311904712e-09,-7.931155732165962e-12
63,-2.9180171489715576,0.003186330199241638
64,-0.1439649611711502,5.875874558114447e-05
65,1.0210689183054455e-08,-1.518312559012358e-11
66,-0.059917643666267395,4.410941983223893e-05
67,0.05772366747260094,-3.592103530536406e-05
68,-0.012634794227778912,9.008377674035728e-06
69,0.005922195501625538,-5.847981810802594e-06
70,-0.010186534374952316,8.432451977569144e-06
71,-2.949035115307197e-05,2.1880774525584457e-08
72,-6.746490001678467,0.0043684570118784904
73,-5.704322347810376e-07,2.668911480707692e-10
74,-0.0030601827893406153,2.864756424969528e-06
75,-0.843420147895813,0.0005880877142772079
76,6.711308378726244e-05,-1.8448494643052982e-07
77,0.00486372597515583,-8.883127520675771e-06
78,-8.774500020081177e-05,7.727335571416916e-08
79,0.030095048248767853,-4.151396933593787e-05
80,-0.001360675203613937,1.0823579259522376e-06
81,-3.0583248138427734,0.0029392221476882696
82,0.002163044875487685,-2.1860687411390245e-06
83,-4.342368811194319e-06,2.918991048872499e-09
84,0.010187732987105846,-1.0261412171530537e-05
85,0.28050702810287476,-0.0003545196959748864
86,-0.00011243012704653665,7.328388562655164e-08
87,0.02357550524175167,-1.0032029422291089e-05
88,0.0007067622500471771,-1.6094578541014926e-06
89,-0.6415610909461975,0.0005259818863123655
90,-0.02176552452147007,1.5066270862007514e-05
91,-10.672229766845703,0.0059971134178340435
92,0.7438453435897827,-0.0007321556331589818
93,1.1044273833249463e-06,-2.1380286430172646e-09
94,-0.002674693474546075,1.6355689922420424e-06
95,3.2364206314086914,-0.0020614261738955975
96,6.14568040901986e-09,-5.888593865993608e-12
97,-1.802577257156372,0.0020343647338449955
98,8.398278623644728e-06,-7.80099007613444e-09
99,-0.20606619119644165,9.037645941134542e-05
100,0.02227996103465557,-3.80896199203562e-05
