Train_ID,Loss
18699,13.415754
4187,12.457027
33503,12.0816
5919,11.317877
34226,11.031629
6621,9.442087
14247,8.295872
5731,3.550172
34004,3.5454564
3298,3.420228
19584,3.4174085
8659,3.3939066
10372,3.314137
6435,3.0668788
3635,2.4803233
22058,2.3933954
32865,2.3360362
37153,2.292045
41989,2.285518
30886,2.2740498
21365,2.2357616
20319,2.2126307
11003,2.043634
13662,2.0401158
42324,1.970818
10973,1.939418
30049,1.936545
38696,1.9122896
27665,1.8855505
18921,1.752552
13449,1.7300357
37255,1.7122993
23857,1.7091563
44395,1.7070028
25610,1.704625
21535,1.7033745
15524,1.7023194
43529,1.7022612
17639,1.7012129
25908,1.7006999
30582,1.7006263
35253,1.700495
7231,1.7002223
24489,1.7001709
40025,1.6994435
32020,1.6993762
14769,1.6990862
40625,1.6989756
6633,1.6982609
23837,1.6980716
42385,1.697825
8180,1.6975687
40085,1.6971555
2274,1.6970111
21297,1.6969935
10728,1.6968477
10927,1.6966268
2024,1.6963351
20544,1.6961908
19721,1.6961752
18434,1.6961267
33260,1.6956563
30776,1.6953733
44157,1.695272
37332,1.6952109
12892,1.6946154
3457,1.6945707
13663,1.6945515
31066,1.6944815
247,1.6944652
1625,1.6944021
29971,1.6942742
38179,1.6938627
8007,1.6932003
42129,1.6929892
39637,1.6928706
15107,1.6928124
35265,1.6925536
28375,1.6924255
25912,1.692199
27763,1.6919556
18619,1.6918849
2448,1.6918724
41953,1.691821
27305,1.691565
22848,1.6914885
17578,1.6913664
37471,1.6910824
40199,1.6909031
36861,1.6908742
1297,1.690778
23002,1.6907015
43700,1.6907015
39750,1.6901221
2777,1.6899881
16285,1.6896744
28541,1.6894244
19070,1.6893767
13894,1.6892016
19137,1.6890031
12114,1.6889458
32453,1.6888869
30003,1.6888016
38765,1.6884431
28806,1.6883343
24939,1.6883152
37594,1.6881969
14497,1.6880593
14700,1.6880246
38655,1.6868895
17278,1.6868161
25090,1.6864618
42552,1.6862819
23593,1.6862409
10365,1.6860814
36876,1.685662
2954,1.6856494
939,1.6855791
18819,1.6855636
17356,1.6855283
13579,1.6854453
30915,1.6854453
14531,1.6854453
15761,1.6853843
42315,1.6853719
5237,1.6851926
39993,1.6851926
13645,1.684854
23428,1.6845375
13215,1.6844897
20542,1.6842152
32378,1.6842122
11785,1.6841416
36521,1.684017
23478,1.6839471
2130,1.6837518
11599,1.6837518
16562,1.6836946
7974,1.6835214
31741,1.6834964
31029,1.6833562
21887,1.6833562
19852,1.6833262
34356,1.6829662
32334,1.682733
6767,1.6826692
11019,1.6826692
28605,1.6824942
15610,1.6823971
172,1.6823372
43815,1.6822764
14721,1.6821588
9055,1.6820627
40689,1.6817559
8287,1.6817338
10601,1.6816797
3111,1.6816701
5685,1.681648
25013,1.6814882
11801,1.6813346
26758,1.6812804
27522,1.6811748
10437,1.6811719
29626,1.6808431
23366,1.6808367
32598,1.6805878
14109,1.6804953
23874,1.680419
