Train_ID,Score
41446,6.3850920923869126e-06
27065,6.262283022806514e-06
30169,6.2104682001518086e-06
29671,6.071690222597681e-06
7771,5.976895408821292e-06
26415,5.932408384978771e-06
25850,5.862405714651686e-06
39612,5.730199973186245e-06
22502,5.6324652177863754e-06
53148,5.613413577520987e-06
52734,5.59399859412224e-06
12928,5.58928923055646e-06
8005,5.567115294979885e-06
31184,5.566460004047258e-06
30595,5.564806542679435e-06
18004,5.536209755518939e-06
44564,5.53000040781626e-06
23744,5.505130047822604e-06
42315,5.4878692026250064e-06
19592,5.484453595272498e-06
25645,5.46434512216365e-06
7598,5.4398733482230455e-06
6471,5.414452971308492e-06
17735,5.398914254328702e-06
8103,5.38850463271956e-06
18596,5.375469299906399e-06
76,5.366862751543522e-06
22400,5.332331056706607e-06
34644,5.295264145388501e-06
53699,5.295113624015357e-06
23918,5.257569910099846e-06
6104,5.2456655339483405e-06
2492,5.23877861269284e-06
4465,5.2284963203419466e-06
6645,5.2117466111667454e-06
3666,5.208719358051894e-06
10970,5.198528015171178e-06
38532,5.190484444028698e-06
18011,5.183163011679426e-06
29187,5.133274498803075e-06
11579,5.116500688018277e-06
9591,5.101714123156853e-06
53119,5.079813490738161e-06
45088,5.061446245235857e-06
42169,5.013076588511467e-06
48408,5.004596459912136e-06
16271,4.971978796675103e-06
3388,4.967199402017286e-06
20315,4.947464731230866e-06
46399,4.94533787787077e-06
13071,4.9184225190401776e-06
32568,4.918422291666502e-06
40853,4.889053343504202e-06
20813,4.883492692897562e-06
51746,4.881021595792845e-06
7190,4.8759525270725135e-06
47234,4.863879439653829e-06
23621,4.8464171413797885e-06
12787,4.8416393383377e-06
19958,4.8354904720326886e-06
15495,4.828413693758193e-06
10639,4.82291261505452e-06
10195,4.8187444008362945e-06
31042,4.8149872782232706e-06
50907,4.798692316398956e-06
47974,4.762594926432939e-06
33241,4.757755050377455e-06
18722,4.73939780931687e-06
24954,4.738860752695473e-06
33787,4.738293341688404e-06
46753,4.720559900306398e-06
26760,4.714136139227776e-06
38520,4.683443421527045e-06
47397,4.6749328816986235e-06
44793,4.674007641369826e-06
261,4.670332600653637e-06
16273,4.669267354984186e-06
42446,4.659809519580449e-06
8962,4.657692898035748e-06
29477,4.653850510294433e-06
1016,4.6316081352415495e-06
45400,4.619971605279716e-06
30197,4.601811042448389e-06
35359,4.600537977239583e-06
49900,4.587599960359512e-06
8097,4.582723931889632e-06
13582,4.5794067773385905e-06
11617,4.5759102249576245e-06
4632,4.565104063658509e-06
50308,4.559072976917378e-06
36693,4.550921403279062e-06
20501,4.5477706862584455e-06
29545,4.541942189462134e-06
4773,4.5410638449538965e-06
41631,4.539422661764547e-06
42164,4.536629148788052e-06
22652,4.527571036305744e-06
4590,4.515096406976227e-06
7516,4.493330266086559e-06
45581,4.488856575335376e-06
1292,4.485836598178139e-06
15507,4.480092229641741e-06
11257,4.479281642488786e-06
2666,4.478589517020737e-06
8511,4.467352027859306e-06
40175,4.440210091161134e-06
13746,4.427850399224553e-06
16461,4.426296072779223e-06
33201,4.424109874889837e-06
2882,4.420392542670015e-06
8194,4.418024900587625e-06
17389,4.416947376739699e-06
16590,4.4156654439575505e-06
16261,4.409664597915253e-06
678,4.408776362652134e-06
31952,4.396102895043441e-06
49723,4.393051085571642e-06
28696,4.387651188153541e-06
32679,4.386236696518608e-06
13365,4.3849126996065024e-06
51492,4.384728981676744e-06
13633,4.3830390268340125e-06
43976,4.374352670311055e-06
20843,4.366597067928524e-06
215,4.35668351883578e-06
33156,4.349636583356187e-06
12794,4.341912244854029e-06
29024,4.337699465395417e-06
13009,4.332386538408173e-06
33661,4.323895836932934e-06
34358,4.321156893638545e-06
48528,4.309539690439124e-06
9130,4.299433385313023e-06
51564,4.29696456194506e-06
42747,4.285414433979895e-06
53759,4.272928435966605e-06
47264,4.251304744684603e-06
11344,4.245046284268028e-06
27624,4.241204351274064e-06
30425,4.22630597540774e-06
10696,4.22157268076262e-06
12408,4.2195329115202185e-06
11636,4.218506774122943e-06
5009,4.2167275751126e-06
22594,4.206170615361771e-06
52848,4.2046249291161075e-06
22795,4.204153356113238e-06
28360,4.202200670988532e-06
3991,4.197186399323982e-06
2716,4.197157977614552e-06
4985,4.192610504105687e-06
3358,4.192560027149739e-06
15761,4.192165533822845e-06
3247,4.192074356978992e-06
45830,4.191833795630373e-06
31771,4.186481191936764e-06
40840,4.181943495495943e-06
17987,4.181090616839356e-06
13767,4.180578116574907e-06
7301,4.1770306324906414e-06
29615,4.1769064864638494e-06
12606,4.176331003691303e-06
30767,4.17512410422205e-06
13871,4.173758497927338e-06
16861,4.165599875705084e-06
20753,4.165261543676024e-06
20498,4.165104883213644e-06
21889,4.161925971857272e-06
22396,4.144401827943511e-06
13431,4.144305876252474e-06
4832,4.128138584746921e-06
4101,4.117163825867465e-06
40517,4.1169128053297754e-06
4453,4.1161597437167075e-06
47736,4.115158844797406e-06
2126,4.113779596082168e-06
35402,4.109720975975506e-06
34551,4.10965139963082e-06
20047,4.107294444111176e-06
8168,4.1068572045332985e-06
8994,4.105708740098635e-06
27666,4.104176923647174e-06
26806,4.103462288185256e-06
47659,4.103335641048034e-06
28807,4.099566695003887e-06
45650,4.0890954551286995e-06
25633,4.086234412170597e-06
46948,4.085249543095415e-06
2960,4.080793019056728e-06
25223,4.079392510902835e-06
43340,4.078304527865839e-06
5033,4.0588156480225734e-06
44642,4.058672402607044e-06
2273,4.049309382025967e-06
