Train_ID,Training_Loss
1,0.0021046887
2,0.008290756
3,0.0038253716
4,0.0035527935
5,0.002239103
6,0.003189479
7,0.0045692082
8,0.0029949355
9,0.0032054018
10,0.0002603192
11,0.30623654
12,0.041662518
13,0.019686665
14,0.0007846852
15,0.0037129049
16,0.0030597083
17,0.0016504012
18,8.63038e-05
19,5.20931e-05
20,0.0051188366
21,0.00030512924
22,0.0049195676
23,0.0020913652
24,0.010848826
25,0.10460217
26,0.00066317973
27,0.0017991562
28,0.0016818201
29,0.002509423
30,0.0018410414
31,0.0028120044
32,0.0009377373
33,0.0018534163
34,0.0012898468
35,0.00034195298
36,0.00016675988
37,7.1525315e-06
38,0.0016408801
39,0.04604033
40,0.0028842776
41,0.29647467
42,0.0015178123
43,0.005140184
44,0.0034988634
45,1.180165e-05
46,8.106199e-06
47,0.0034493252
48,0.002624522
49,0.001520312
50,0.21560751
51,0.0012517483
52,0.0010400369
53,0.24861647
54,0.00066544325
55,0.00088711956
56,0.00074704393
57,0.009707979
58,2.7775377e-05
59,0.00024589853
60,0.0032523377
61,0.0034431478
62,0.0012715119
63,0.0025323725
64,0.0040204655
65,0.002699424
66,0.0039906637
67,0.0011372059
69,0.16107531
70,0.0580051
71,0.003703879
72,0.002225781
73,1.5497195e-06
74,0.0018502035
75,0.066093385
76,0.0020262918
77,0.17022498
78,0.030890368
79,0.0014684143
80,0.003929751
82,0.0011965028
83,0.0014701997
84,0.0021862907
85,0.066915646
86,0.0012971093
87,0.0016844382
88,0.0017096676
90,0.0012938947
91,0.006622629
92,0.16648285
93,0.0009690595
94,0.0038600473
95,0.00052569393
96,0.00063530286
97,0.11155292
98,1.8119646e-05
99,0.0031172277
100,0.0073867533
101,0.0022523054
102,8.928377e-05
103,0.0027797893
104,0.012943068
105,0.562814
106,0.0041911863
107,0.0032340388
108,0.0037624303
109,0.0017746428
110,0.0011998365
111,0.0023861052
112,0.0045758537
113,0.050950576
114,0.00119174
115,6.9854206e-05
116,0.008107016
117,0.07338625
118,0.005699455
119,0.0019530047
120,0.16432916
121,0.0058979765
123,0.001037298
124,0.009469946
125,0.00071559567
126,0.0010613529
127,0.2065958
128,0.00025972328
129,0.11084328
130,5.9604467e-06
131,0.0016540907
132,2.0861406e-05
133,0.13439818
134,0.00019250446
135,0.0042904234
136,0.0044812737
137,0.008917625
138,0.0026190525
139,6.079489e-05
140,0.0018355679
141,0.016641842
142,0.0
143,0.0029756813
144,0.002379921
145,0.00094952784
146,0.043456234
147,0.0018151011
148,0.0013475871
149,7.5456635e-05
150,0.003204095
151,0.087504014
152,0.007189948
153,0.005735725
154,0.0016323111
155,0.00094571675
156,0.001447583
157,0.004418135
158,1.7270026
159,0.16324796
160,0.0038180088
161,3.5285328e-05
162,0.0027103613
163,0.0030461596
164,0.0006917706
165,0.003125071
166,0.002339723
167,0.0028045152
168,0.003765993
169,0.0030386725
170,0.000994069
171,0.13467422
172,0.0003131138
173,0.0039453064
174,0.0024323661
175,0.002054011
176,0.009106294
177,0.0018254537
178,0.0024297498
179,0.0032803793
180,0.00086377497
181,0.004915653
182,0.0029439463
183,0.00038771264
184,5.960462e-07
185,0.0015329289
186,0.010111299
187,0.001639452
188,0.07143362
189,0.0025074014
