Train_ID,Loss
6972,6.363977
2957,6.356202
6845,5.9632397
382,5.693455
7194,5.630051
6296,5.3941956
6627,5.2632637
2813,5.1817083
7852,5.1770306
1886,5.158112
1340,5.056567
8428,4.959933
5886,4.934313
9780,4.9188156
8209,4.9085445
711,4.806596
2730,4.736581
4347,4.639303
8265,4.610329
9458,4.6010637
3384,4.559812
5908,4.5515485
9265,4.5505548
9716,4.495046
716,4.479265
9743,4.409663
3310,4.33672
1134,4.3152547
3849,4.3148947
2431,4.303092
1955,4.2438316
9792,4.2300515
6327,4.2189245
8156,4.1670465
7436,4.1669
777,4.1344438
8488,4.1148996
9147,4.04008
5896,4.0025334
3964,3.9785473
4742,3.9167523
6040,3.8418796
4553,3.8306637
680,3.7820115
5912,3.7201455
9747,3.7043374
8909,3.5922956
2451,3.5293822
9011,3.4425323
3628,3.4281657
7747,3.410507
5067,3.4072602
2437,3.4008303
5698,3.3959842
1121,3.3046823
5574,3.298258
1750,3.2660964
180,3.2520823
9153,3.2483478
7592,3.2454224
633,3.2413657
741,3.2268634
9128,3.2267222
8727,3.215577
6215,3.2030063
2580,3.1891124
6623,3.1850903
7386,3.156098
9316,3.1533716
3437,3.1506891
2559,3.1446688
8511,3.14319
9337,3.1418095
957,3.1352837
654,3.1335094
5444,3.1053498
6425,3.0991237
8197,3.0800588
7699,3.0612707
9235,3.0467427
8867,3.016497
8609,2.993998
4866,2.9895434
3660,2.9743855
2974,2.970051
5464,2.9700382
7169,2.9678698
761,2.964958
2220,2.9573035
5740,2.9508479
3371,2.9502163
9730,2.9464607
5186,2.9454045
1518,2.9385417
3271,2.9365149
6268,2.9342418
1823,2.9301155
3075,2.9263394
7997,2.9211314
249,2.9160428
5414,2.9159827
2187,2.910424
5011,2.9024093
3097,2.87716
4705,2.8704965
2491,2.8622851
5953,2.8503973
2128,2.840767
9503,2.8376174
7959,2.8295162
7904,2.8259883
3221,2.8203745
962,2.8138313
149,2.8045318
2536,2.799724
2495,2.7803214
1504,2.7685802
3553,2.7563913
9391,2.7560973
9691,2.7177646
6896,2.7136636
5743,2.7012804
5638,2.698929
7648,2.6816256
1810,2.6730213
2524,2.6725025
463,2.672208
3989,2.6663547
1533,2.6437895
593,2.6335027
8106,2.6318238
7778,2.6233299
1922,2.6163952
6154,2.602113
5187,2.597931
2861,2.595785
1006,2.595129
8408,2.5939138
2081,2.5902426
7596,2.572933
6494,2.5726073
8766,2.5692813
5155,2.5648801
3086,2.5611491
2926,2.5575008
2368,2.55175
7304,2.5491917
6152,2.528618
7007,2.528336
474,2.5124402
3895,2.4997313
7367,2.4955933
7500,2.4950962
2300,2.4944563
4851,2.4787962
7242,2.475051
3739,2.4677045
7524,2.4673913
4028,2.465282
8457,2.464736
8881,2.4599726
8949,2.4384315
9702,2.428428
7149,2.398036
8005,2.3919184
8845,2.3816953
8189,2.3802097
7448,2.3691034
1844,2.3630333
3914,2.3563123
5395,2.3527164
6933,2.3516705
5625,2.3455942
2961,2.3433604
4358,2.3335047
4485,2.3167694
4030,2.313562
2212,2.3047295
440,2.302694
1549,2.2922301
1718,2.28616
9354,2.2689154
5007,2.265132
8206,2.264907
9347,2.2609031
1088,2.2511954
9020,2.2457108
1634,2.2448173
3753,2.2358274
4013,2.2311678
2418,2.2259629
539,2.2203763
8785,2.2194264
4146,2.2048259
7729,2.203446
4069,2.1993184
2647,2.1969407
3712,2.1891925
3992,2.1883035
8544,2.1858711
3700,2.1794932
1546,2.1710937
8689,2.1693652
652,2.1553779
1836,2.1536186
7170,2.1493337
3100,2.1467998
2775,2.130352
2675,2.129685
5422,2.128463
8225,2.1205473
2247,2.1192224
8851,2.1072216
4648,2.105844
4959,2.1028867
1323,2.099761
313,2.0930824
6004,2.0907223
6451,2.082619
3020,2.0825408
715,2.082366
7689,2.068273
228,2.067829
4161,2.067658
7783,2.0630207
4314,2.0332925
5167,2.020688
64,2.0166266
4782,2.0158613
2385,2.0136914
7942,1.9839417
2466,1.9730424
9646,1.9729012
1874,1.9655495
1582,1.9616194
3643,1.9607172
1320,1.9531627
1678,1.9445007
6629,1.9428308
1078,1.9404082
8895,1.9384657
480,1.9376905
2944,1.9309186
771,1.926941
3605,1.9233179
7882,1.9219857
4063,1.9203311
4638,1.919539
8328,1.9171175
3177,1.9168103
1365,1.9138839
8254,1.9118224
3958,1.9096096
4554,1.9051274
9390,1.9047917
4882,1.904763
3519,1.904412
1267,1.8999153
4008,1.894063
5450,1.8894522
7109,1.8882341
9589,1.887018
4821,1.8848665
8369,1.8721197
7623,1.8706101
5119,1.868134
1751,1.8665404
2619,1.8556871
665,1.8476275
2846,1.845231
8893,1.8443497
7232,1.8442384
7782,1.8416994
8337,1.83981
4280,1.8382257
6987,1.8340712
4563,1.831705
9279,1.8260151
6525,1.8249729
1360,1.818641
4637,1.810573
7268,1.8101568
305,1.7934761
3867,1.7888608
6299,1.7865657
1133,1.7845392
2749,1.7834504
7142,1.7787617
2464,1.7787042
1838,1.7727036
881,1.7668377
8244,1.7648456
9413,1.7543612
7575,1.7536943
8455,1.7531495
9667,1.7530388
4857,1.7525816
5319,1.7506785
8804,1.7446111
4678,1.7446092
5607,1.7373983
9038,1.7351716
2887,1.7342274
7012,1.7334479
5721,1.7329395
4428,1.7305095
6137,1.7283428
4990,1.7281579
7297,1.7224387
1570,1.7189955
8058,1.7179818
3176,1.7172575
9274,1.7141625
9075,1.7034107
358,1.7013893
5891,1.7007384
7053,1.697105
107,1.6891094
1167,1.682638
1183,1.6695487
4559,1.6693212
2747,1.6665399
5557,1.6658392
8046,1.6653427
8617,1.6613712
9454,1.6612961
8367,1.6608295
6615,1.6575586
8611,1.6560887
6173,1.6463436
4223,1.63802
7593,1.6288438
1070,1.6257539
2671,1.624994
3316,1.6185179
7365,1.6183039
1561,1.6161337
4198,1.6058763
6289,1.6030908
823,1.5986537
778,1.5967304
4492,1.5960417
1583,1.5941888
782,1.5932612
6185,1.588684
8973,1.587548
7159,1.5836713
6750,1.5810996
1585,1.579
5922,1.576391
9987,1.5756395
3765,1.5752926
245,1.5588909
2216,1.5528831
5370,1.5496024
3760,1.5459083
5423,1.5452847
4840,1.5399601
2026,1.5381935
7669,1.5369663
4512,1.534117
2893,1.5332379
2946,1.5313505
3089,1.5308684
159,1.530587
1402,1.5266744
282,1.5240275
7100,1.517975
8626,1.5125633
742,1.5060819
2856,1.4980705
1657,1.4954631
3934,1.4879476
5752,1.485048
5699,1.4809365
1890,1.4775712
2215,1.4772747
5251,1.4692043
3187,1.4656327
4389,1.462921
2085,1.4622781
9778,1.4617888
1538,1.4570467
801,1.4561999
2906,1.455972
1115,1.4493237
5235,1.4418485
8055,1.4406309
1432,1.437976
9293,1.4365869
3957,1.4343808
2770,1.4324155
7141,1.4321773
8806,1.4310753
5651,1.4170613
553,1.4096212
703,1.4049656
5457,1.4046726
2578,1.4033284
7958,1.3995899
8069,1.398802
9649,1.3913052
375,1.3891468
494,1.3869253
7343,1.3841444
6974,1.3790808
8273,1.374665
8261,1.3746238
7857,1.3673856
5094,1.3665792
3077,1.3637494
2028,1.3634813
1692,1.3614538
2937,1.358012
4950,1.3569529
5017,1.3566507
270,1.3562237
5151,1.3545328
8589,1.3534746
8707,1.3515587
6651,1.3502033
2143,1.3468144
523,1.3438964
8899,1.3390113
5654,1.3371994
7706,1.335869
6764,1.3306727
8749,1.3306501
8063,1.3289033
5110,1.3252627
9407,1.3181677
3754,1.315501
3045,1.3146062
2795,1.3087534
9373,1.3055826
8717,1.3000584
6332,1.2988727
6365,1.2975571
7201,1.2950611
6362,1.2929574
9866,1.2921863
8034,1.2893608
5032,1.2863603
1327,1.2840328
2076,1.2836666
6272,1.2764387
914,1.2760254
9080,1.2736902
9295,1.2702829
5125,1.2683856
7280,1.2647421
2443,1.2620385
8918,1.2499763
6693,1.2482628
9428,1.2438712
8140,1.2428349
9519,1.242261
6589,1.2413483
6843,1.2387583
5626,1.2369517
9628,1.2334819
6515,1.2326761
80,1.2287366
9493,1.2255557
3650,1.2223883
8231,1.221194
4137,1.2172968
2201,1.2153305
5831,1.212761
3348,1.2096162
411,1.2055842
4871,1.2020628
6421,1.2012608
718,1.1981342
6804,1.1951277
7465,1.1947542
4745,1.193912
5753,1.1927972
4500,1.1889005
2403,1.186434
8756,1.1802527
5667,1.1798551
4955,1.1798401
7257,1.1797411
2600,1.1790177
1358,1.1789234
8303,1.1779112
9272,1.1777959
3859,1.1737221
7476,1.1704695
9876,1.1684601
4478,1.1680933
6397,1.1676533
4734,1.1668367
6594,1.1614814
2459,1.1614316
7796,1.1584787
2530,1.1569118
6112,1.156065
8467,1.1532059
2429,1.1472963
2883,1.1465263
1384,1.1454384
4911,1.1429838
8095,1.142487
6724,1.141855
746,1.1404291
5817,1.1402609
179,1.1389222
659,1.1385584
7440,1.1345721
9527,1.1328107
9106,1.1317263
9304,1.130233
8776,1.127426
1789,1.1264846
8057,1.125781
4818,1.1255324
5725,1.1246161
3346,1.1245427
2636,1.1209674
5792,1.1209321
4234,1.1167675
8528,1.1163005
5845,1.1162143
1733,1.1156702
6392,1.1114872
3263,1.1109816
4653,1.1100693
4216,1.109653
2567,1.10867
2372,1.1081201
3772,1.1069983
7264,1.1023501
3127,1.1005943
9875,1.095376
3888,1.0944545
4436,1.092998
8300,1.0918453
4040,1.0893104
7789,1.0827888
283,1.0819527
7734,1.0799867
921,1.0790532
4698,1.0780957
2826,1.0779212
6300,1.0764917
214,1.0762392
8878,1.0758283
1721,1.0745771
8985,1.0744185
8009,1.0743116
7994,1.0732803
2611,1.0700315
6489,1.069921
9613,1.0696739
3432,1.0669519
374,1.0668912
2091,1.0648983
3603,1.0632501
8657,1.0629733
3131,1.0614284
5555,1.0610002
429,1.0601736
4055,1.0578592
3817,1.0567832
7683,1.0553114
9003,1.0522813
1476,1.051805
3005,1.0516396
9983,1.0483143
4210,1.0467876
6042,1.0461205
3029,1.0447624
5407,1.0439311
6201,1.0432433
3731,1.0402586
5631,1.0393225
929,1.0384952
1848,1.0365765
8959,1.0365586
9647,1.0344076
1041,1.0338693
764,1.0334046
6093,1.0305855
3352,1.0305712
32,1.0298198
55,1.0265241
4365,1.0256759
6309,1.0246471
2317,1.0240929
3632,1.0225573
7246,1.0204927
2428,1.0191454
8805,1.014996
3513,1.0141244
9669,1.0128019
1605,1.00976
2230,1.0095794
4957,1.0084865
6330,1.0073336
1596,1.0072951
8571,1.0064821
3326,1.0049591
4849,1.0029263
